Gene ID,source_id,Product Description,Gene Type,Input ID,# Transcripts,Transcript Length,Genomic Location (Transcript),Genomic Location (Gene),Gene Name or Symbol
Tb11.v5.0288,Tb11.v5.0288.1,"ribonucleoside-diphosphate reductase small chain, putative",protein coding,Tb11.v5.0288,1,7797,Tb927_11_bin_v5.1:748778..749791(+),"Tb927_11_bin_v5.1:742,628..750,424(+)",N/A
Tb11.v5.0289,Tb11.v5.0289.1,"ubiquitin ligase, putative",protein coding,Tb11.v5.0289,1,6471,Tb927_11_bin_v5.1:750691..756186(+),"Tb927_11_bin_v5.1:750,659..757,129(+)",N/A
Tb11.v5.0290,Tb11.v5.0290.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0290,1,1734,Tb927_11_bin_v5.1:757792..758574(+),"Tb927_11_bin_v5.1:756,841..758,574(+)",N/A
Tb11.v5.0291,Tb11.v5.0291.1,"cleavage and polyadenylation specificity factor 30 kDa subunit, putative",protein coding,Tb11.v5.0291,1,1127,Tb927_11_bin_v5.1:759044..759877(+),"Tb927_11_bin_v5.1:758,885..760,011(+)",N/A
Tb11.v5.0292,Tb11.v5.0292.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0292,1,1867,Tb927_11_bin_v5.1:760194..761243(+),"Tb927_11_bin_v5.1:760,168..762,034(+)",N/A
Tb11.v5.0294,Tb11.v5.0294.1,"retrotransposon hot spot (RHS) protein, putative",protein coding,Tb11.v5.0294,1,7591,Tb927_11_bin_v5.1:786443..787264(+),"Tb927_11_bin_v5.1:779,674..787,264(+)",N/A
Tb11.v5.0295,Tb11.v5.0295.1,"retrotransposon hot spot (RHS) protein, putative",protein coding,Tb11.v5.0295,1,4540,Tb927_11_bin_v5.1:787315..788544(+),"Tb927_11_bin_v5.1:787,315..791,854(+)",N/A
Tb11.v5.0301,Tb11.v5.0301.1,"glycerol uptake protein, putative",protein coding,Tb11.v5.0301,1,2296,Tb927_11_bin_v5.1:819243..819794(+),"Tb927_11_bin_v5.1:817,499..819,794(+)",N/A
Tb11.v5.0302,Tb11.v5.0302.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0302,1,1882,Tb927_11_bin_v5.1:821147..821665(+),"Tb927_11_bin_v5.1:820,635..822,516(+)",N/A
Tb11.v5.0303,Tb11.v5.0303.1,"pdz domain containing protein, putative",protein coding,Tb11.v5.0303,1,1475,Tb927_11_bin_v5.1:822971..824428(+),"Tb927_11_bin_v5.1:822,954..824,428(+)",N/A
Tb11.v5.0304,Tb11.v5.0304.1,"cation transporter, putative",protein coding,Tb11.v5.0304,1,1429,Tb927_11_bin_v5.1:825390..826490(+),"Tb927_11_bin_v5.1:825,062..826,490(+)",N/A
Tb11.v5.0305,Tb11.v5.0305.1,"TFIID-like protein, putative",protein coding,Tb11.v5.0305,1,2763,Tb927_11_bin_v5.1:827057..827845(+),"Tb927_11_bin_v5.1:826,943..829,705(+)",N/A
Tb11.v5.0306,Tb11.v5.0306.1,"Triglyceride lipase, putative",protein coding,Tb11.v5.0306,1,5447,Tb927_11_bin_v5.1:829887..831494(+),"Tb927_11_bin_v5.1:828,253..833,699(+)",N/A
Tb11.v5.0307,Tb11.v5.0307.1,"THT1 - hexose transporter, putative",protein coding,Tb11.v5.0307,1,3702,Tb927_11_bin_v5.1:834616..836199(+),"Tb927_11_bin_v5.1:833,150..836,851(+)",N/A
Tb11.v5.0308,Tb11.v5.0308.1,"THT1 - hexose transporter, putative",protein coding,Tb11.v5.0308,1,2279,Tb927_11_bin_v5.1:837009..838592(+),"Tb927_11_bin_v5.1:836,962..839,240(+)",N/A
Tb11.v5.0309,Tb11.v5.0309.1,"THT1 - hexose transporter, putative",protein coding,Tb11.v5.0309,1,2141,Tb927_11_bin_v5.1:839398..840981(+),"Tb927_11_bin_v5.1:839,351..841,491(+)",N/A
Tb11.v5.0310,Tb11.v5.0310.1,"THT1 - hexose transporter, putative",protein coding,Tb11.v5.0310,1,2140,Tb927_11_bin_v5.1:841787..843370(+),"Tb927_11_bin_v5.1:841,740..843,879(+)",N/A
Tb11.v5.0315,Tb11.v5.0315.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0315,1,3120,Tb927_11_bin_v5.1:861265..863022(-),"Tb927_11_bin_v5.1:861,265..864,384(-)",N/A
Tb11.v5.0317,Tb11.v5.0317.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0317,1,1786,Tb927_11_bin_v5.1:887425..887748(-),"Tb927_11_bin_v5.1:887,425..889,210(-)",N/A
Tb11.v5.0325,Tb11.v5.0325.1,"retrotransposon hot spot (RHS) protein, putative",protein coding,Tb11.v5.0325,1,995,Tb927_11_bin_v5.1:911614..912591(+),"Tb927_11_bin_v5.1:911,597..912,591(+)",N/A
Tb11.v5.0326,Tb11.v5.0326.1,"retrotransposon hot spot (RHS) protein, putative",protein coding,Tb11.v5.0326,1,909,Tb927_11_bin_v5.1:912792..913700(+),"Tb927_11_bin_v5.1:912,792..913,700(+)",N/A
Tb11.v5.0330,Tb11.v5.0330.1,"THT1 - hexose transporter, putative",protein coding,Tb11.v5.0330,1,2452,Tb927_11_bin_v5.1:932446..934029(+),"Tb927_11_bin_v5.1:932,399..934,850(+)",N/A
Tb11.v5.0331,Tb11.v5.0331.1,"THT1 - hexose transporter, putative",protein coding,Tb11.v5.0331,1,1637,Tb927_11_bin_v5.1:935008..936597(+),"Tb927_11_bin_v5.1:934,961..936,597(+)",N/A
Tb11.v5.0332,Tb11.v5.0332.1,"THT2A - glucose transporter, putative",protein coding,Tb11.v5.0332,1,2403,Tb927_11_bin_v5.1:937573..939162(+),"Tb927_11_bin_v5.1:937,526..939,928(+)",N/A
Tb11.v5.0333,Tb11.v5.0333.1,"THT1 - hexose transporter, putative, fragment",protein coding,Tb11.v5.0333,1,10457,Tb927_11_bin_v5.1:940239..941207(+),"Tb927_11_bin_v5.1:940,192..950,648(+)",N/A
Tb11.v5.0337,Tb11.v5.0337.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0337,1,25490,Tb927_11_bin_v5.1:1001928..1005623(-),"Tb927_11_bin_v5.1:982,670..1,008,159(-)",N/A
Tb11.v5.0338,Tb11.v5.0338.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0338,1,4530,Tb927_11_bin_v5.1:1010022..1010579(-),"Tb927_11_bin_v5.1:1,006,105..1,010,634(-)",N/A
Tb11.v5.0339,Tb11.v5.0339.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0339,1,1797,Tb927_11_bin_v5.1:1011236..1012468(-),"Tb927_11_bin_v5.1:1,010,801..1,012,597(-)",N/A
Tb11.v5.0340,Tb11.v5.0340.1,"ribonuclease HII, putative",protein coding,Tb11.v5.0340,1,1581,Tb927_11_bin_v5.1:1013141..1014199(-),"Tb927_11_bin_v5.1:1,012,746..1,014,326(-)",N/A
Tb11.v5.0341,Tb11.v5.0341.1,"Protein of unknown function (DUF3592), putative",protein coding,Tb11.v5.0341,1,1472,Tb927_11_bin_v5.1:1014681..1015247(-),"Tb927_11_bin_v5.1:1,014,537..1,016,008(-)",N/A
Tb11.v5.0342,Tb11.v5.0342.1,"chaperone protein DnaJ, putative",protein coding,Tb11.v5.0342,1,2121,Tb927_11_bin_v5.1:1016629..1017501(-),"Tb927_11_bin_v5.1:1,015,438..1,017,558(-)",N/A
Tb11.v5.0343,Tb11.v5.0343.1,"BarP protein, putative",protein coding,Tb11.v5.0343,1,650,Tb927_11_bin_v5.1:1018250..1018843(-),"Tb927_11_bin_v5.1:1,018,250..1,018,899(-)",N/A
Tb11.v5.0344,Tb11.v5.0344.1,"BarP protein, putative",protein coding,Tb11.v5.0344,1,842,Tb927_11_bin_v5.1:1019858..1020643(-),"Tb927_11_bin_v5.1:1,019,858..1,020,699(-)",N/A
Tb11.v5.0345,Tb11.v5.0345.1,"BarP protein, putative",protein coding,Tb11.v5.0345,1,2809,Tb927_11_bin_v5.1:1021653..1022417(-),"Tb927_11_bin_v5.1:1,021,653..1,024,461(-)",N/A
Tb11.v5.0346,Tb11.v5.0346.1,"BarP protein, putative",protein coding,Tb11.v5.0346,1,3401,Tb927_11_bin_v5.1:1025420..1026292(-),"Tb927_11_bin_v5.1:1,022,948..1,026,348(-)",N/A
Tb11.v5.0348,Tb11.v5.0348.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0348,1,1716,Tb927_11_bin_v5.1:1071896..1073611(+),"Tb927_11_bin_v5.1:1,071,896..1,073,611(+)",N/A
Tb11.v5.0349,Tb11.v5.0349.1,"DNA-directed RNA polymerase II subunit 2, putative",protein coding,Tb11.v5.0349,1,15562,Tb927_11_bin_v5.1:1079033..1079695(+),"Tb927_11_bin_v5.1:1,075,159..1,090,720(+)",N/A
Tb11.v5.0353,Tb11.v5.0353.1,"retrotransposon hot spot (RHS) protein, putative",protein coding,Tb11.v5.0353,1,7228,Tb927_11_bin_v5.1:1109022..1111106(-),"Tb927_11_bin_v5.1:1,103,905..1,111,132(-)",N/A
Tb11.v5.0354,Tb11.v5.0354.1,"TPR repeat, putative",protein coding,Tb11.v5.0354,1,465,Tb927_11_bin_v5.1:1112944..1113408(+),"Tb927_11_bin_v5.1:1,112,944..1,113,408(+)",N/A
Tb11.v5.0355,Tb11.v5.0355.1,"TPR repeat, putative",protein coding,Tb11.v5.0355,1,679,Tb927_11_bin_v5.1:1114542..1115216(+),"Tb927_11_bin_v5.1:1,114,542..1,115,220(+)",N/A
Tb11.v5.0356,Tb11.v5.0356.1,"cytidine triphosphate synthase, putative",protein coding,Tb11.v5.0356,1,4000,Tb927_11_bin_v5.1:1122661..1124430(+),"Tb927_11_bin_v5.1:1,122,603..1,126,602(+)",N/A
Tb11.v5.0357,Tb11.v5.0357.1,"homocysteine S-methyltransferase, putative",protein coding,Tb11.v5.0357,1,1648,Tb927_11_bin_v5.1:1127157..1128458(+),"Tb927_11_bin_v5.1:1,127,152..1,128,799(+)",N/A
Tb11.v5.0359,Tb11.v5.0359.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0359,1,3600,Tb927_11_bin_v5.1:1151285..1153639(-),"Tb927_11_bin_v5.1:1,150,164..1,153,763(-)",N/A
Tb11.v5.0360,Tb11.v5.0360.1,"aminopeptidase, putative",protein coding,Tb11.v5.0360,1,14253,Tb927_11_bin_v5.1:1177367..1178017(-),"Tb927_11_bin_v5.1:1,164,939..1,179,191(-)",N/A
Tb11.v5.0364,Tb11.v5.0364.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0364,1,25369,Tb927_11_bin_v5.1:1210734..1213196(-),"Tb927_11_bin_v5.1:1,197,496..1,222,864(-)",N/A
Tb11.v5.0365,Tb11.v5.0365.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0365,1,2802,Tb927_11_bin_v5.1:1223367..1225607(-),"Tb927_11_bin_v5.1:1,222,968..1,225,769(-)",N/A
Tb11.v5.0366,Tb11.v5.0366.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0366,1,6820,Tb927_11_bin_v5.1:1226272..1229520(-),"Tb927_11_bin_v5.1:1,225,931..1,232,750(-)",N/A
Tb11.v5.0367,Tb11.v5.0367.1,"expression site-associated gene (ESAG) protein, putative",protein coding,Tb11.v5.0367,1,1233,Tb927_11_bin_v5.1:1234396..1235583(-),"Tb927_11_bin_v5.1:1,234,396..1,235,628(-)",N/A
Tb11.v5.0368,Tb11.v5.0368.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0368,1,1209,Tb927_11_bin_v5.1:1237180..1238358(-),"Tb927_11_bin_v5.1:1,237,180..1,238,388(-)",N/A
Tb11.v5.0369,Tb11.v5.0369.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0369,1,1245,Tb927_11_bin_v5.1:1240146..1241360(-),"Tb927_11_bin_v5.1:1,240,146..1,241,390(-)",N/A
Tb11.v5.0372,Tb11.v5.0372.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0372,1,1649,Tb927_11_bin_v5.1:1247382..1248674(-),"Tb927_11_bin_v5.1:1,247,069..1,248,717(-)",N/A
Tb11.v5.0373,Tb11.v5.0373.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0373,1,1011,Tb927_11_bin_v5.1:1249210..1250133(-),"Tb927_11_bin_v5.1:1,249,210..1,250,220(-)",N/A
Tb11.v5.0374,Tb11.v5.0374.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0374,1,15949,Tb927_11_bin_v5.1:1265635..1266639(-),"Tb927_11_bin_v5.1:1,250,879..1,266,827(-)",N/A
Tb11.v5.0375,Tb11.v5.0375.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0375,1,10563,Tb927_11_bin_v5.1:1271171..1272349(-),"Tb927_11_bin_v5.1:1,266,659..1,277,221(-)",N/A
Tb11.v5.0376,Tb11.v5.0376.1,"Trypanosomal VSG domain containing protein, putative",protein coding,Tb11.v5.0376,1,6672,Tb927_11_bin_v5.1:1279029..1279394(-),"Tb927_11_bin_v5.1:1,272,723..1,279,394(-)",N/A
Tb11.v5.0377,Tb11.v5.0377.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0377,1,2304,Tb927_11_bin_v5.1:1279671..1281974(-),"Tb927_11_bin_v5.1:1,279,671..1,281,974(-)",N/A
Tb11.v5.0378,Tb11.v5.0378.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0378,1,18613,Tb927_11_bin_v5.1:1281993..1286342(-),"Tb927_11_bin_v5.1:1,281,993..1,300,605(-)",N/A
Tb11.v5.0379,Tb11.v5.0379.1,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb11.v5.0379,1,1842,Tb927_11_bin_v5.1:1307483..1309324(+),"Tb927_11_bin_v5.1:1,307,483..1,309,324(+)",N/A
Tb11.v5.0380,Tb11.v5.0380.1,"variant surface glycoprotein (VSG, atypical), putative",protein coding,Tb11.v5.0380,1,6656,Tb927_11_bin_v5.1:1312530..1313993(+),"Tb927_11_bin_v5.1:1,309,997..1,316,652(+)",N/A
Tb11.v5.0381,Tb11.v5.0381.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0381,1,10804,Tb927_11_bin_v5.1:1326756..1327430(-),"Tb927_11_bin_v5.1:1,316,627..1,327,430(-)",N/A
Tb11.v5.0382,Tb11.v5.0382.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0382,1,665,Tb927_11_bin_v5.1:1327799..1328455(-),"Tb927_11_bin_v5.1:1,327,799..1,328,463(-)",N/A
Tb11.v5.0383,Tb11.v5.0383.1,"zeta tubulin, putative",protein coding,Tb11.v5.0383,1,3301,Tb927_11_bin_v5.1:1329035..1330285(-),"Tb927_11_bin_v5.1:1,328,678..1,331,978(-)",N/A
Tb11.v5.0384,Tb11.v5.0384.1,"glycerol-3-phosphate dehydrogenase (FAD-dependent),putative",protein coding,Tb11.v5.0384,1,3606,Tb927_11_bin_v5.1:1332281..1334134(-),"Tb927_11_bin_v5.1:1,330,581..1,334,186(-)",N/A
Tb11.v5.0391,Tb11.v5.0391.1,"rRNA biogenesis protein, putative",protein coding,Tb11.v5.0391,1,2127,Tb927_11_bin_v5.1:1362864..1364903(-),"Tb927_11_bin_v5.1:1,362,864..1,364,990(-)",N/A
Tb11.v5.0392,Tb11.v5.0392.1,"kinesin heavy chain, putative",protein coding,Tb11.v5.0392,1,10800,Tb927_11_bin_v5.1:1366555..1366968(-),"Tb927_11_bin_v5.1:1,365,284..1,376,083(-)",N/A
Tb11.v5.0394,Tb11.v5.0394.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0394,1,5293,Tb927_11_bin_v5.1:1381337..1386175(+),"Tb927_11_bin_v5.1:1,380,883..1,386,175(+)",N/A
Tb11.v5.0396,Tb11.v5.0396.1,"potassium voltage-gated channel, putative",protein coding,Tb11.v5.0396,1,1991,Tb927_11_bin_v5.1:1413045..1414067(-),"Tb927_11_bin_v5.1:1,413,045..1,415,035(-)",N/A
Tb11.v5.0397,Tb11.v5.0397.1,"ATP-dependent zinc metallopeptidase, putative",protein coding,Tb11.v5.0397,1,16452,Tb927_11_bin_v5.1:1415327..1417060(-),"Tb927_11_bin_v5.1:1,414,092..1,430,543(-)",N/A
Tb11.v5.0399,Tb11.v5.0399.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0399,1,15860,Tb927_11_bin_v5.1:1435595..1438963(-),"Tb927_11_bin_v5.1:1,425,642..1,441,501(-)",N/A
Tb11.v5.0402,Tb11.v5.0402.1,"BarP protein, putative",protein coding,Tb11.v5.0402,1,1037,Tb927_11_bin_v5.1:1477384..1478364(+),"Tb927_11_bin_v5.1:1,477,328..1,478,364(+)",N/A
Tb11.v5.0403,Tb11.v5.0403.1,"BarP protein, putative",protein coding,Tb11.v5.0403,1,1037,Tb927_11_bin_v5.1:1481107..1482087(+),"Tb927_11_bin_v5.1:1,481,051..1,482,087(+)",N/A
Tb11.v5.0404,Tb11.v5.0404.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0404,1,8136,Tb927_11_bin_v5.1:1494435..1496606(+),"Tb927_11_bin_v5.1:1,489,368..1,497,503(+)",N/A
Tb11.v5.0405,Tb11.v5.0405.1,"50S ribosome-binding GTPase, putative",protein coding,Tb11.v5.0405,1,1997,Tb927_11_bin_v5.1:1497910..1499775(+),"Tb927_11_bin_v5.1:1,497,779..1,499,775(+)",N/A
Tb11.v5.0406,Tb11.v5.0406.1,"glycerol uptake protein, putative",protein coding,Tb11.v5.0406,1,3087,Tb927_11_bin_v5.1:1500693..1502522(-),"Tb927_11_bin_v5.1:1,500,693..1,503,779(-)",N/A
Tb11.v5.0407,Tb11.v5.0407.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0407,1,2497,Tb927_11_bin_v5.1:1504064..1505317(-),"Tb927_11_bin_v5.1:1,502,875..1,505,371(-)",N/A
Tb11.v5.0409,Tb11.v5.0409.1,"guanine deaminase, putative",protein coding,Tb11.v5.0409,1,9679,Tb927_11_bin_v5.1:1530998..1532548(-),"Tb927_11_bin_v5.1:1,523,049..1,532,727(-)",N/A
Tb11.v5.0410,Tb11.v5.0410.1,"antigenic protein, conserved",protein coding,Tb11.v5.0410,1,5453,Tb927_11_bin_v5.1:1556188..1561377(-),"Tb927_11_bin_v5.1:1,556,188..1,561,640(-)",N/A
Tb11.v5.0411,Tb11.v5.0411.1,"peptidylprolyl isomerase-like protein, putative",protein coding,Tb11.v5.0411,1,1341,Tb927_11_bin_v5.1:1561914..1563191(-),"Tb927_11_bin_v5.1:1,561,914..1,563,254(-)",N/A
Tb11.v5.0412,Tb11.v5.0412.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0412,1,2529,Tb927_11_bin_v5.1:1563645..1566056(-),"Tb927_11_bin_v5.1:1,563,645..1,566,173(-)",N/A
Tb11.v5.0413,Tb11.v5.0413.1,expression site-associated gene 9 (ESAG9) protein,protein coding,Tb11.v5.0413,1,6049,Tb927_11_bin_v5.1:1569658..1570548(-),"Tb927_11_bin_v5.1:1,566,301..1,572,349(-)",N/A
Tb11.v5.0414,Tb11.v5.0414.1,"ATP-dependent DEAD/H RNA helicase, putative",protein coding,Tb11.v5.0414,1,3676,Tb927_11_bin_v5.1:1575174..1576484(-),"Tb927_11_bin_v5.1:1,572,880..1,576,555(-)",N/A
Tb11.v5.0415,Tb11.v5.0415.1,"rRNA dimethyltransferase, putative",protein coding,Tb11.v5.0415,1,1502,Tb927_11_bin_v5.1:1588997..1590400(-),"Tb927_11_bin_v5.1:1,588,997..1,590,498(-)",N/A
Tb11.v5.0418,Tb11.v5.0418.1,"AAA domain (dynein-related subfamily), putative",protein coding,Tb11.v5.0418,1,3242,Tb927_11_bin_v5.1:1625664..1627865(+),"Tb927_11_bin_v5.1:1,624,624..1,627,865(+)",N/A
Tb11.v5.0419,Tb11.v5.0419.1,"AAA domain (dynein-related subfamily), putative",protein coding,Tb11.v5.0419,1,2202,Tb927_11_bin_v5.1:1627963..1629546(+),"Tb927_11_bin_v5.1:1,627,963..1,630,164(+)",N/A
Tb11.v5.0420,Tb11.v5.0420.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0420,1,1384,Tb927_11_bin_v5.1:1631775..1633037(-),"Tb927_11_bin_v5.1:1,631,775..1,633,158(-)",N/A
Tb11.v5.0421,Tb11.v5.0421.1,"75 kDa invariant surface glycoprotein, putative",protein coding,Tb11.v5.0421,1,1665,Tb927_11_bin_v5.1:1640742..1642310(+),"Tb927_11_bin_v5.1:1,640,646..1,642,310(+)",N/A
Tb11.v5.0423,Tb11.v5.0423.1,"Plexin repeat, putative",protein coding,Tb11.v5.0423,1,3494,Tb927_11_bin_v5.1:1655269..1655976(+),"Tb927_11_bin_v5.1:1,655,246..1,658,739(+)",N/A
Tb11.v5.0424,Tb11.v5.0424.1,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb11.v5.0424,1,1983,Tb927_11_bin_v5.1:1664519..1666456(+),"Tb927_11_bin_v5.1:1,664,474..1,666,456(+)",N/A
Tb11.v5.0425,Tb11.v5.0425.1,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb11.v5.0425,1,1683,Tb927_11_bin_v5.1:1666599..1668281(+),"Tb927_11_bin_v5.1:1,666,599..1,668,281(+)",N/A
Tb11.v5.0426,Tb11.v5.0426.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0426,1,1874,Tb927_11_bin_v5.1:1676656..1677708(-),"Tb927_11_bin_v5.1:1,675,838..1,677,711(-)",N/A
Tb11.v5.0427,Tb11.v5.0427.1,"peroxisome assembly protein, putative",protein coding,Tb11.v5.0427,1,1230,Tb927_11_bin_v5.1:1679330..1680517(-),"Tb927_11_bin_v5.1:1,679,330..1,680,559(-)",N/A
Tb11.v5.0428,Tb11.v5.0428.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0428,1,1866,Tb927_11_bin_v5.1:1681431..1683296(-),"Tb927_11_bin_v5.1:1,681,431..1,683,296(-)",N/A
Tb11.v5.0429,Tb11.v5.0429.1,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb11.v5.0429,1,3897,Tb927_11_bin_v5.1:1689104..1693000(-),"Tb927_11_bin_v5.1:1,689,104..1,693,000(-)",N/A
Tb11.v5.0430,Tb11.v5.0430.1,"ankyrin, putative",protein coding,Tb11.v5.0430,1,525,Tb927_11_bin_v5.1:1693849..1694334(+),"Tb927_11_bin_v5.1:1,693,849..1,694,373(+)",N/A
Tb11.v5.0431,Tb11.v5.0431.1,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb11.v5.0431,1,8703,Tb927_11_bin_v5.1:1701376..1703058(-),"Tb927_11_bin_v5.1:1,694,356..1,703,058(-)",N/A
Tb11.v5.0432,Tb11.v5.0432.1,"calpain-like cysteine peptidase, putative",protein coding,Tb11.v5.0432,1,4554,Tb927_11_bin_v5.1:1703375..1707928(-),"Tb927_11_bin_v5.1:1,703,375..1,707,928(-)",N/A
Tb11.v5.0433,Tb11.v5.0433.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0433,1,12987,Tb927_11_bin_v5.1:1708167..1709480(-),"Tb927_11_bin_v5.1:1,708,167..1,721,153(-)",N/A
Tb11.v5.0434,Tb11.v5.0434.1,"kinesin, putative",protein coding,Tb11.v5.0434,1,3572,Tb927_11_bin_v5.1:1723026..1726313(-),"Tb927_11_bin_v5.1:1,723,026..1,726,597(-)",N/A
Tb11.v5.0435,Tb11.v5.0435.1,"adenylosuccinate synthetase, putative",protein coding,Tb11.v5.0435,1,3934,Tb927_11_bin_v5.1:1727381..1729189(+),"Tb927_11_bin_v5.1:1,727,230..1,731,163(+)",N/A
Tb11.v5.0436,Tb11.v5.0436.1,"Leucine Rich Repeat, putative",protein coding,Tb11.v5.0436,1,8514,Tb927_11_bin_v5.1:1736457..1737830(-),"Tb927_11_bin_v5.1:1,729,983..1,738,496(-)",N/A
Tb11.v5.0437,Tb11.v5.0437.1,"Mannosyltransferase (PIG-V)), putative",protein coding,Tb11.v5.0437,1,3520,Tb927_11_bin_v5.1:1741003..1742220(-),"Tb927_11_bin_v5.1:1,738,753..1,742,272(-)",N/A
Tb11.v5.0438,Tb11.v5.0438.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0438,1,1062,Tb927_11_bin_v5.1:1743584..1744615(-),"Tb927_11_bin_v5.1:1,743,584..1,744,645(-)",N/A
Tb11.v5.0439,Tb11.v5.0439.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0439,1,7907,Tb927_11_bin_v5.1:1751850..1752635(-),"Tb927_11_bin_v5.1:1,744,729..1,752,635(-)",N/A
Tb11.v5.0440,Tb11.v5.0440.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0440,1,3123,Tb927_11_bin_v5.1:1755174..1756253(+),"Tb927_11_bin_v5.1:1,753,131..1,756,253(+)",N/A
Tb11.v5.0442,Tb11.v5.0442.1,"retrotransposon hot spot protein, RHS3, putative",protein coding,Tb11.v5.0442,1,1548,Tb927_11_bin_v5.1:1760588..1761766(+),"Tb927_11_bin_v5.1:1,760,219..1,761,766(+)",N/A
Tb11.v5.0444,Tb11.v5.0444.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0444,1,15948,Tb927_11_bin_v5.1:1784143..1786992(-),"Tb927_11_bin_v5.1:1,771,375..1,787,322(-)",N/A
Tb11.v5.0445,Tb11.v5.0445.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0445,1,6093,Tb927_11_bin_v5.1:1791976..1792212(-),"Tb927_11_bin_v5.1:1,787,470..1,793,562(-)",N/A
Tb11.v5.0446,Tb11.v5.0446.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0446,1,2368,Tb927_11_bin_v5.1:1793912..1795357(-),"Tb927_11_bin_v5.1:1,793,912..1,796,279(-)",N/A
Tb11.v5.0448,Tb11.v5.0448.1,"leucine-rich repeat protein (LRRP), putative",protein coding,Tb11.v5.0448,1,3501,Tb927_11_bin_v5.1:1802372..1805827(+),"Tb927_11_bin_v5.1:1,802,327..1,805,827(+)",N/A
Tb11.v5.0452,Tb11.v5.0452.1,"GTPase activating protein, putative",protein coding,Tb11.v5.0452,1,1157,Tb927_11_bin_v5.1:1823765..1824748(-),"Tb927_11_bin_v5.1:1,823,765..1,824,921(-)",N/A
Tb11.v5.0453,Tb11.v5.0453.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0453,1,1170,Tb927_11_bin_v5.1:1825541..1826710(-),"Tb927_11_bin_v5.1:1,825,541..1,826,710(-)",N/A
Tb11.v5.0454,Tb11.v5.0454.1,"GTPase activating protein, putative",protein coding,Tb11.v5.0454,1,1055,Tb927_11_bin_v5.1:1827087..1828109(-),"Tb927_11_bin_v5.1:1,827,087..1,828,141(-)",N/A
Tb11.v5.0456,Tb11.v5.0456.1,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb11.v5.0456,1,10571,Tb927_11_bin_v5.1:1845908..1849714(-),"Tb927_11_bin_v5.1:1,839,189..1,849,759(-)",N/A
Tb11.v5.0458,Tb11.v5.0458.1,"hypothetical protein, conserved",protein coding,Tb11.v5.0458,1,2485,Tb927_11_bin_v5.1:1850875..1851504(-),"Tb927_11_bin_v5.1:1,850,875..1,853,359(-)",N/A
Tb11.v5.0463,Tb11.v5.0463.1,"expression site-associated gene (ESAG) protein, putative",protein coding,Tb11.v5.0463,1,3814,Tb927_11_bin_v5.1:1864146..1865603(-),"Tb927_11_bin_v5.1:1,863,970..1,867,783(-)",N/A
Tb11.v5.0464,Tb11.v5.0464.1,"vesicular-fusion protein nsf, putative",protein coding,Tb11.v5.0464,1,2255,Tb927_11_bin_v5.1:1869685..1871862(-),"Tb927_11_bin_v5.1:1,869,685..1,871,939(-)",N/A
