"","howick_p_val","howick_avg_log2FC","howick_pct.1","howick_pct.2","howick_p_val_adj","hutchinson_p_val","hutchinson_avg_log2FC","hutchinson_pct.1","hutchinson_pct.2","hutchinson_p_val_adj","max_pval","minimump_p_val","gene_id","prod_desc","gene_name"
"Tb927.1.840",1.82187784303578e-06,0.767319195995326,0.126,0.012,0.0169398201845466,2.72039027125348e-30,0.687383922925252,0.282,0.052,2.52941887421148e-26,1.82187784303578e-06,5.440780542507e-30,"Tb927.1.840","transmembrane protein, putative","N/A"
"Tb927.10.12890",1.51841198279375e-09,0.291453285095832,0.459,0.162,1.41181946160162e-05,4.28268811393575e-30,0.964019139546997,0.312,0.063,3.98204340833746e-26,1.51841198279375e-09,8.56537622787156e-30,"Tb927.10.12890","bifunctional aminoacyl-tRNA synthetase, putative","N/A"
"Tb927.11.10060",7.97979662671259e-16,1.86848407571753,0.37,0.051,7.41961490351737e-12,7.76244880440301e-30,0.836969818961285,0.247,0.041,7.21752489833392e-26,7.97979662671259e-16,1.5524897608806e-29,"Tb927.11.10060","Biotin--acetyl-CoA-carboxylase ligase, putative","N/A"
"Tb927.11.3030",3.83086284862749e-26,0.589329418113882,0.593,0.099,3.56193627665384e-22,8.7656024088233e-30,1.85956287890654,0.429,0.127,8.15025711972391e-26,3.83086284862749e-26,1.75312048176467e-29,"Tb927.11.3030","phosphoribosylpyrophosphate synthetase, putative","PRS"
"Tb927.8.1870",9.4638379414603e-11,0.747428814142161,0.711,0.356,8.79947651796979e-07,9.81602106595525e-30,15.8789381380038,0.876,0.638,9.12693638712519e-26,9.4638379414603e-11,1.96320421319105e-29,"Tb927.8.1870","Golgi/lysosome glycoprotein 1","GLP1"
"Tb927.2.5060",1.4031728711891e-10,0.989491180274296,0.407,0.126,1.30467013563163e-06,1.03540818063477e-29,0.717565351014023,0.276,0.051,9.62722526354206e-26,1.4031728711891e-10,2.07081636126954e-29,"Tb927.2.5060","GTP binding protein, putative","N/A"
"Tb927.10.5610",5.10584579012482e-16,0.493134243763208,0.919,0.53,4.74741541565805e-12,1.1118817508342e-29,3.89950587116287,0.841,0.557,1.03382765192564e-25,5.10584579012482e-16,2.2237635016684e-29,"Tb927.10.5610","40S ribosomal protein S9, putative","N/A"
"Tb927.10.7570",2.86048976324915e-21,1.78293939129745,0.548,0.111,2.65968338186906e-17,1.47899885626244e-29,1.32271846929685,0.459,0.141,1.37517313655282e-25,2.86048976324915e-21,2.9579977125249e-29,"Tb927.10.7570","dihydrolipoamide acetyltransferase E2 subunit, putative","PDH-E2"
"Tb927.2.170",2.59343705839195e-13,2.39276988599347,0.393,0.083,2.41137777689284e-09,1.50877453599815e-29,2.20534679561073,0.447,0.136,1.40285856357108e-25,2.59343705839195e-13,3.01754907199633e-29,"Tb927.2.170","leucine-rich repeat protein 1 (LRRP1), putative","N/A"
"Tb927.8.2550",3.63557463848005e-09,0.617136493252366,0.326,0.087,3.38035729885875e-05,1.70207810244339e-29,1.43966790295921,0.412,0.113,1.58259221965186e-25,3.63557463848005e-09,3.4041562048868e-29,"Tb927.8.2550","mitochondrial DNA primase","PRI1"
"Tb927.11.1710",3.17401339733133e-05,0.768526615499866,0.333,0.154,0.295119765683867,3.07579579847207e-29,0.607318382996468,0.306,0.063,2.85987493341933e-25,3.17401339733133e-05,6.15159159694418e-29,"Tb927.11.1710","guide RNA-binding protein of 21 kDa","gBP21"
"Tb927.11.5600",6.74396739558237e-09,1.0499784235496,0.289,0.067,6.27054088441249e-05,3.38874670302863e-29,0.615831776388421,0.318,0.068,3.15085668447602e-25,6.74396739558237e-09,6.77749340605728e-29,"Tb927.11.5600","Archaic Translocase of outer membrane 14 kDa subunit","ATOM14"
"Tb927.1.600",1.44306215750219e-09,0.271497700434059,0.793,0.403,1.34175919404554e-05,4.18280087853827e-29,2.20776526962126,0.494,0.165,3.88916825686489e-25,1.44306215750219e-09,8.36560175707658e-29,"Tb927.1.600","phosphate-repressible phosphate permease, putative","N/A"
"Tb927.9.12510",4.60092504982125e-07,1.30970893194211,0.57,0.292,0.0042779401113238,1.12450225245193e-28,4.32554301812253,0.706,0.354,1.0455621943298e-24,4.60092504982125e-07,2.24900450490388e-28,"Tb927.9.12510","ATP-dependent DEAD/H RNA helicase, putative","DED1"
"Tb927.8.7280",4.24311366676817e-15,7.52119120140175,0.237,0.004,3.94524708736105e-11,1.1664472864433e-28,0.551924297043777,0.188,0.024,1.08456268693498e-24,4.24311366676817e-15,2.33289457288662e-28,"Tb927.8.7280","emp24/gp25L/p24 family/GOLD, putative","N/A"
"Tb927.3.4100",1.58192010665143e-28,2.19680865868239,0.704,0.158,1.4708693151645e-24,2.67070695775347e-21,0.837483172724331,0.335,0.097,2.48322332931917e-17,2.67070695775347e-21,3.16384021330284e-28,"Tb927.3.4100","Pyruvate transporter, putative","PT4"
"Tb927.8.5640",1.01973087181833e-17,2.36084736420418,0.459,0.083,9.48145764616683e-14,4.90552911735659e-28,1.18822955034685,0.4,0.112,4.56116097331816e-24,1.01973087181833e-17,9.81105823471317e-28,"Tb927.8.5640","putative succinate dehydrogenase subunit","SDH6"
"Tb927.3.3490",1.34948882565071e-07,2.22260187827072,0.23,0.051,0.00125475471009003,6.05684937391277e-28,1.5800874135015,0.371,0.096,5.6316585478641e-24,1.34948882565071e-07,1.21136987478255e-27,"Tb927.3.3490","High mobility group protein TDP1","TDP1"
"Tb927.7.1470",1.1889267631561e-23,0.412658250843503,0.63,0.13,1.10546410438254e-19,6.68000670858809e-28,1.08083899830916,0.406,0.115,6.2110702376452e-24,1.1889267631561e-23,1.33600134171762e-27,"Tb927.7.1470","Mitochondrial ATP synthase subunit c-3","ATPc3"
"Tb927.2.2510",5.46231637088609e-10,0.544909803191802,0.333,0.079,5.07886176164988e-06,1.0616483487662e-27,1.25987624292443,0.435,0.133,9.87120634682812e-24,5.46231637088609e-10,2.1232966975324e-27,"Tb927.2.2510","Mitochondrial outer membrane protein porin 1","VDAC1"
"Tb927.6.1570",3.79537759706333e-06,0.625909194894376,0.237,0.071,0.0352894208974948,1.68307630099154e-27,0.80280471275153,0.282,0.058,1.56492434466194e-23,3.79537759706333e-06,3.36615260198311e-27,"Tb927.6.1570","2-hydroxy-3-oxopropionate reductase, putative","N/A"
"Tb927.9.8850",7.83450099055876e-14,1.20100455981789,0.533,0.142,7.28451902102153e-10,1.73647307974439e-27,1.07701227552465,0.5,0.167,1.61457266954633e-23,7.83450099055876e-14,3.47294615948878e-27,"Tb927.9.8850","actin A","N/A"
"Tb927.9.7980",3.93449240242935e-21,0.712945738929707,0.681,0.202,3.65829103577881e-17,1.79695060542442e-27,0.611853498871095,0.2,0.028,1.67080467292363e-23,3.93449240242935e-21,3.59390121084885e-27,"Tb927.9.7980","hypothetical protein, conserved","N/A"
"Tb927.4.3500",1.86282915400806e-27,0.485855257347263,0.667,0.138,1.7320585473967e-23,1.81347495690235e-20,2.25043363353567,0.476,0.195,1.68616901492781e-16,1.81347495690235e-20,3.72565830801613e-27,"Tb927.4.3500","Amastin surface glycoprotein, putative","N/A"
"Tb927.6.2740",2.64087497484397e-11,1.44178206159887,0.407,0.107,2.45548555160993e-07,1.94392332044056e-27,1.07317286514292,0.353,0.089,1.80745990334563e-23,2.64087497484397e-11,3.88784664088113e-27,"Tb927.6.2740","pyridoxal kinase","pdxK"
"Tb927.1.3130",1.2996113338183e-08,0.834229172480573,0.296,0.079,0.000120837861818425,1.95019172171851e-27,0.58690713609406,0.294,0.062,1.81328826285387e-23,1.2996113338183e-08,3.90038344343704e-27,"Tb927.1.3130","AGC/RSK family serine/threonine kinase, putative","N/A"
"Tb927.11.16760",9.71398270360743e-05,1.04433277712504,0.274,0.119,0.903206111781419,2.07033251667236e-27,1.65287868861299,0.553,0.215,1.92499517400196e-23,9.71398270360743e-05,4.14066503334473e-27,"Tb927.11.16760","T-complex protein 1, alpha subunit, putative","TCP-1-alpha"
"Tb927.9.7890",4.79982470095616e-16,0.790809026423448,0.726,0.296,4.46287700694904e-12,2.40655498898722e-27,1.3029739863012,0.247,0.045,2.23761482876031e-23,4.79982470095616e-16,4.81310997797444e-27,"Tb927.9.7890","hypothetical protein, conserved","N/A"
"Tb927.10.180",4.34881443925643e-11,0.723800823301906,0.452,0.15,4.04352766562063e-07,5.35678495698689e-27,0.703138167530051,0.265,0.051,4.98073865300641e-23,4.34881443925643e-11,1.07135699139738e-26,"Tb927.10.180","ATP synthase F1 subunit gamma protein, putative","ATPF1G"
"Tb927.8.1990",2.53500233772328e-16,1.73707824445246,0.533,0.142,2.35704517361511e-12,5.46890899817938e-27,1.20079459580307,0.529,0.195,5.08499158650719e-23,2.53500233772328e-16,1.09378179963587e-26,"Tb927.8.1990","peroxidoxin","mPRX"
"Tb927.10.6060",7.23742210599041e-05,0.724625252511901,0.17,0.047,0.672935507414989,6.16840151073295e-27,3.715193928517,0.453,0.155,5.73537972467949e-23,7.23742210599041e-05,1.23368030214659e-26,"Tb927.10.6060","universal minicircle sequence binding protein 2","UMSBP2"
"Tb927.9.11720",5.64060947640802e-10,1.08686913519612,0.326,0.079,5.24463869116418e-06,8.3718965977357e-27,3.25577500799996,0.688,0.364,7.78418945657466e-23,5.64060947640802e-10,1.67437931954714e-26,"Tb927.9.11720","Iron-sulfur cluster assembly protein","ISCU"
"Tb927.7.3600",2.89112917920919e-11,1.00162124545104,0.267,0.04,2.68817191082871e-07,2.96265063750421e-26,0.723599036563724,0.247,0.046,2.75467256275141e-22,2.89112917920919e-11,5.9253012750084e-26,"Tb927.7.3600","emp24/gp25L/p24 family/GOLD, putative","N/A"
"Tb927.10.11030",7.65929755363935e-12,1.24742620784226,0.296,0.047,7.12161486537386e-08,3.18787134168533e-26,0.60372963511234,0.312,0.072,2.96408277349902e-22,7.65929755363935e-12,6.37574268337068e-26,"Tb927.10.11030","Archaic translocase of outer membrane 11 kDa subunit","ATOM11"
"Tb927.11.550",1.44613883145362e-16,1.50625880805621,0.563,0.158,1.34461988548558e-12,3.24642414162019e-26,5.89356112725609,0.682,0.356,3.01852516687845e-22,1.44613883145362e-16,6.4928482832404e-26,"Tb927.11.550","Suppressor of clathrin deficiency 6, putative","SCD6"
"Tb927.11.5280",3.60592381036738e-14,0.546494778835475,0.526,0.154,3.35278795887959e-10,4.77164401528253e-26,1.07480381579545,0.441,0.141,4.43667460540969e-22,3.60592381036738e-14,9.54328803056507e-26,"Tb927.11.5280","Mitochondrial ATP synthase subunit c-1","ATPc1"
"Tb927.11.9530",1.8545308017963e-14,1.68146922326101,0.496,0.138,1.7243427395102e-10,5.03651605760566e-26,1.3735892416027,0.582,0.239,4.68295263036174e-22,1.8545308017963e-14,1.00730321152113e-25,"Tb927.11.9530","14-3-3 protein 1","14-3-3-I"
"Tb927.10.520",7.86958027677226e-10,0.828961056086969,0.459,0.158,7.31713574134284e-06,1.27440179565149e-25,0.603417434019129,0.282,0.061,1.18493878959675e-21,7.86958027677226e-10,2.54880359130298e-25,"Tb927.10.520","Mitochondrial ATP synthase subunit, putative","N/A"
"Tb927.2.1180",3.68880205811493e-14,0.384574776938233,0.696,0.269,3.42984815363526e-10,1.30150182060243e-25,3.91252781806161,0.8,0.499,1.21013639279614e-21,3.68880205811493e-14,2.60300364120486e-25,"Tb927.2.1180","retrotransposon hot spot protein 3 (RHS3), putative","N/A"
"Tb927.10.12700",1.33801802311646e-25,0.484412646103948,0.763,0.213,1.24408915789369e-21,1.14556100594186e-16,0.909734918406338,0.547,0.279,1.06514262332474e-12,1.14556100594186e-16,2.67603604623292e-25,"Tb927.10.12700","pyruvate dehydrogenase E1 alpha subunit, putative","N/A"
"Tb927.7.3940",2.22357202499015e-06,0.442910758647575,0.2,0.047,0.0206747726883584,1.40806065930644e-25,0.712636223108398,0.329,0.082,1.30921480102312e-21,2.22357202499015e-06,2.81612131861288e-25,"Tb927.7.3940","mitochondrial carrier protein","MCP16"
"Tb927.9.4680",5.88637468237801e-13,1.4621429340048,0.607,0.225,5.47315117967508e-09,1.4773308623677e-25,2.83288755106913,0.635,0.319,1.37362223582948e-21,5.88637468237801e-13,2.95466172473541e-25,"Tb927.9.4680","Eukaryotic initiation factor 4A-1","EIF4A1"
"Tb927.10.14750",2.22997904684383e-08,1.17310083141669,0.244,0.051,0.00020734345177554,1.95217192836241e-25,1.05980149793506,0.318,0.078,1.81512945899137e-21,2.22997904684383e-08,3.90434385672484e-25,"Tb927.10.14750","fibrillarin, putative","N/A"
"Tb927.9.7040",1.52664038016501e-21,3.15845402538216,0.407,0.032,1.41947022547743e-17,1.99738094781619e-25,0.652551272065938,0.182,0.026,1.8571648052795e-21,1.52664038016501e-21,3.99476189563239e-25,"Tb927.9.7040","hypothetical protein, conserved","N/A"
"Tb927.10.13770",1.02866957165041e-19,2.50056423100394,0.333,0.012,9.56456967720555e-16,2.66507047229324e-25,0.743971326684266,0.3,0.07,2.47798252513826e-21,1.02866957165041e-19,5.33014094458648e-25,"Tb927.10.13770","hypothetical protein, conserved","N/A"
"Tb927.3.3460",1.25380116750999e-10,2.05907727958267,0.281,0.047,1.16578432555079e-06,2.96161715007551e-25,1.3013896247165,0.388,0.112,2.75371162614021e-21,1.25380116750999e-10,5.92323430015103e-25,"Tb927.3.3460","succinate dehydrogenase flavoprotein subunit, putative","SDH5"
"Tb927.5.2380",8.3683444904915e-11,5.56560054774328,0.23,0.028,7.78088670725899e-07,3.71004865457086e-25,0.577706231241575,0.212,0.036,3.44960323901999e-21,8.3683444904915e-11,7.42009730914174e-25,"Tb927.5.2380","hydrolase, alpha/beta fold family, putative","N/A"
"Tb927.11.7780",7.08409769557656e-07,0.783807604655771,0.259,0.071,0.00658679403734709,4.20578916586039e-25,0.554562679288819,0.176,0.024,3.91054276641699e-21,7.08409769557656e-07,8.41157833172081e-25,"Tb927.11.7780","Mitochondrial import receptor subunit ATOM46","ATOM46"
"Tb927.10.3360",1.71219285563457e-15,2.39138703168286,0.281,0.016,1.59199691716902e-11,5.11498743413518e-25,1.07768877082201,0.276,0.06,4.75591531625889e-21,1.71219285563457e-15,1.02299748682704e-24,"Tb927.10.3360","hypothetical protein, conserved","N/A"
"Tb927.6.120",9.86126994820998e-05,1.31645618421704,0.237,0.091,0.916900879784564,6.00604680724277e-25,0.788985801678514,0.265,0.056,5.58442232137432e-21,9.86126994820998e-05,1.20120936144856e-24,"Tb927.6.120","Protein of unknown function (DUF1181), putative","N/A"
"Tb927.11.7040",7.5503101260222e-25,2.60067903616217,0.511,0.059,7.02027835517544e-21,2.69954973684162e-20,0.359516782927746,0.182,0.032,2.51004134531534e-16,2.69954973684162e-20,1.51006202520444e-24,"Tb927.11.7040","pterin-4-alpha-carbinolamine dehydratase, putative","N/A"
"Tb927.11.13610",9.93580997330452e-17,1.82935943647118,0.4,0.059,9.23831611317854e-13,7.7282559055279e-25,0.553781583455216,0.288,0.065,7.18573234095984e-21,9.93580997330452e-17,1.54565118110559e-24,"Tb927.11.13610","rhodanese-like domain containing protein, putative","N/A"
"Tb927.11.1320",0.000755614090057389,1.16682582571818,0.207,0.087,1,1.28509826757e-24,0.700436567457507,0.353,0.095,1.19488436918658e-20,0.000755614090057389,2.57019653514e-24,"Tb927.11.1320","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","NDHK"
"Tb927.10.4050",8.65645257434041e-11,1.99487020189894,0.244,0.032,8.04876960362171e-07,1.3134069196997e-24,6.79694680273381,0.765,0.446,1.22120575393678e-20,8.65645257434041e-11,2.62681383939941e-24,"Tb927.10.4050","serine palmitoyltransferase, putative","N/A"
"Tb927.10.5550",2.14783430038162e-14,1.67737665631674,0.333,0.043,1.99705633249483e-10,1.47830269547809e-24,1.08034307303841,0.294,0.069,1.37452584625553e-20,2.14783430038162e-14,2.95660539095619e-24,"Tb927.10.5550","hypothetical protein, conserved","N/A"
"Tb927.5.1820",1.60028896570085e-15,0.99255926768943,0.896,0.474,1.48794868030865e-11,1.67633908399751e-24,5.2890162564177,0.794,0.497,1.55866008030089e-20,1.60028896570085e-15,3.35267816799504e-24,"Tb927.5.1820","60S acidic ribosomal protein, putative","N/A"
"Tb927.10.3040",2.37236272932039e-13,2.14810228111427,0.378,0.075,2.2058228657221e-09,1.95053745906575e-24,1.0545574647595,0.335,0.089,1.81360972943933e-20,2.37236272932039e-13,3.90107491813152e-24,"Tb927.10.3040","succinate dehydrogenase subunit","SDH9"
"Tb927.9.14440",2.35340650060274e-24,0.382731951118563,0.489,0.047,2.18819736426043e-20,9.85148801584378e-17,1.32799018408429,0.206,0.05,9.15991355713155e-13,9.85148801584378e-17,4.70681300120551e-24,"Tb927.9.14440","hypothetical protein","N/A"
"Tb927.11.13020",1.14853208886981e-18,4.23779840992162,0.348,0.024,1.06790513623115e-14,2.56029029845176e-24,2.23821134778081,0.5,0.197,2.38055791950045e-20,1.14853208886981e-18,5.12058059690354e-24,"Tb927.11.13020","calmodulin","N/A"
"Tb927.10.2530",8.14665992946984e-21,2.29700414185478,0.489,0.075,7.57476440242106e-17,3.47964334795483e-24,1.10322904119098,0.335,0.091,3.2353723849284e-20,8.14665992946984e-21,6.95928669590967e-24,"Tb927.10.2530","adenylate kinase, putative","ADKF"
"Tb927.11.6240",3.55397907254099e-08,2.10659120452689,0.2,0.032,0.000330448974164862,4.3486851234405e-24,1.53225467715531,0.241,0.048,4.04340742777498e-20,3.55397907254099e-08,8.69737024688102e-24,"Tb927.11.6240","hypothetical protein, conserved","N/A"
"Tb927.9.7770",1.54420902311044e-11,1.02816705074413,0.4,0.103,1.43580554968809e-07,5.31664941701281e-24,0.730269586988585,0.259,0.055,4.94342062793851e-20,1.54420902311044e-11,1.06332988340257e-23,"Tb927.9.7770","spermidine synthase","SpSyn"
"Tb927.9.4960",7.32042592785502e-18,0.326836301333367,0.778,0.32,6.80653202771959e-14,6.39914603899882e-24,1.56959719948548,0.612,0.284,5.9499259870611e-20,7.32042592785502e-18,1.27982920779977e-23,"Tb927.9.4960","hypothetical protein, conserved","N/A"
"Tb927.9.5890",0.000356531222270967,1.6562688192571,0.259,0.123,1,1.50485826176305e-23,0.601231364478168,0.218,0.04,1.39921721178729e-19,0.000356531222270967,3.0097165235261e-23,"Tb927.9.5890","solanesyl-diphosphate synthase, putative","SPPS"
"Tb927.11.760",0.000494972254248793,1.78116430398552,0.193,0.075,1,3.04774181312302e-23,1.7968383325966,0.559,0.237,2.83379033784178e-19,0.000494972254248793,6.09548362624603e-23,"Tb927.11.760","protein phosphatase 2C, putative","N/A"
"Tb927.4.200",4.82631914199637e-18,3.73322125780571,0.481,0.103,4.48751153822823e-14,5.37789346084092e-23,2.45555727548836,0.582,0.265,5.00036533988989e-19,4.82631914199637e-18,1.07557869216819e-22,"Tb927.4.200","retrotransposon hot spot protein 1 (RHS1), putative","RHS1"
"Tb927.11.7350",2.66460768340796e-13,1.14312119905771,0.378,0.075,2.47755222403272e-09,5.81258728876807e-23,1.0512089125184,0.394,0.127,5.40454366109655e-19,2.66460768340796e-13,1.16251745775362e-22,"Tb927.11.7350","Histone H2B variant V","H2BV"
"Tb927.7.3410",2.04805134640347e-14,0.51036576262704,0.422,0.087,1.90427814188595e-10,7.29811572811964e-23,0.668120965551114,0.282,0.067,6.78578800400564e-19,2.04805134640347e-14,1.45962314562393e-22,"Tb927.7.3410","centrin-4","Centrin4"
"Tb927.11.4290",1.97921021031644e-13,0.634867007246042,0.674,0.273,1.84026965355223e-09,9.10612460946148e-23,13.1306634871504,0.765,0.466,8.46687466187728e-19,1.97921021031644e-13,1.8212249218923e-22,"Tb927.11.4290","40S ribosomal protein S12","RPS12"
"Tb927.6.160",8.52781508265124e-18,0.579360239096824,0.489,0.111,7.92916246384912e-14,1.04313449877755e-22,0.731855337720887,0.3,0.076,9.69906456963368e-19,8.52781508265124e-18,2.08626899755511e-22,"Tb927.6.160","retrotransposon hot spot protein 1 (RHS1), putative","RHS1"
"Tb927.11.2460",1.24162634543104e-22,2.71004933221834,0.459,0.051,1.15446417598178e-18,1.21116324422804e-15,1.79519753863208,0.224,0.06,1.12613958448323e-11,1.21116324422804e-15,2.48325269086208e-22,"Tb927.11.2460","hypothetical protein, conserved","N/A"
"Tb927.9.5190",3.61535336286655e-05,1.30752317653621,0.156,0.036,0.336155555679332,1.68022842122752e-22,0.595723771825119,0.265,0.06,1.56227638605735e-18,3.61535336286655e-05,3.36045684245505e-22,"Tb927.9.5190","proliferating cell nuclear antigen","PCNA"
"Tb927.2.4720",0.000770796893356661,1.3035823870748,0.133,0.04,1,3.20317546923799e-22,1.32005494149561,0.388,0.127,2.97831255129748e-18,0.000770796893356661,6.40635093847599e-22,"Tb927.2.4720","dolichyl-P-Man:GDP-Man7GlcNAc2-PP-dolichyl alpha-1,6-mannosyltransferase, putative","ALG12"
"Tb927.8.3060",0.000114159685763012,4.62639244437431,0.215,0.075,1,4.19007038861905e-22,0.491656998479241,0.165,0.024,3.895927447338e-18,0.000114159685763012,8.38014077723809e-22,"Tb927.8.3060","metallo-peptidase, Clan MF, Family M17","N/A"
"Tb927.7.1240",6.61931118622658e-05,1.35045897050365,0.163,0.043,0.615463554095347,5.57009019189876e-22,0.390657744995078,0.171,0.026,5.17906986042747e-18,6.61931118622658e-05,1.11401803837975e-21,"Tb927.7.1240","Sphingosine kinase","N/A"
"Tb927.11.14390",7.82468885316732e-07,4.12158120359695,0.148,0.02,0.00727539569567497,5.77036681374782e-22,0.385462722167019,0.212,0.04,5.36528706342273e-18,7.82468885316732e-07,1.15407336274957e-21,"Tb927.11.14390","hypothetical protein, conserved","N/A"
"Tb927.8.760",1.22097546508007e-08,0.422260001179104,0.415,0.15,0.000113526298743145,6.75594405484934e-22,1.43982206789039,0.341,0.101,6.28167678219891e-18,1.22097546508007e-08,1.35118881096987e-21,"Tb927.8.760","nucleolar RNA-binding protein","NOPP44/46-1"
"Tb927.9.5650",1.10433198902166e-21,3.21913323393285,0.37,0.016,1.02680788339234e-17,2.80746649570278e-10,0.512996635369517,0.259,0.102,2.61038234770444e-06,2.80746649570278e-10,2.20866397804333e-21,"Tb927.9.5650","E2-like ubiquitin-conjugation enzyme, putative","UFC1"
"Tb927.11.250",6.69892268333519e-08,2.10918614986635,0.23,0.047,0.000622865831096506,1.23616303305929e-21,0.427150097386515,0.224,0.045,1.14938438813853e-17,6.69892268333519e-08,2.47232606611858e-21,"Tb927.11.250","ubiquitin carboxyl-terminal hydrolase, putative","N/A"
"Tb927.4.250",1.89996630434066e-14,0.95288800977597,0.444,0.111,1.76658866977594e-10,1.42270640832598e-21,0.859576488584534,0.288,0.074,1.3228324184615e-17,1.89996630434066e-14,2.84541281665196e-21,"Tb927.4.250","retrotransposon hot spot protein 5 (RHS5), putative","RHS5"
"Tb927.9.6960",1.94815564153903e-21,1.44009921336178,0.459,0.047,1.81139511550299e-17,3.87836564918442e-13,1.17014216115396,0.194,0.054,3.60610438061167e-09,3.87836564918442e-13,3.89631128307806e-21,"Tb927.9.6960","hypothetical protein, conserved","N/A"
"Tb927.7.1120",4.15677747771124e-18,0.410425401675208,0.437,0.067,3.86497169877591e-14,1.98619427350365e-21,1.12865905571287,0.424,0.15,1.84676343550369e-17,4.15677747771124e-18,3.97238854700729e-21,"Tb927.7.1120","trypanothione/tryparedoxin dependent peroxidase 1, cytosolic","TDPX1"
"Tb927.11.15420",4.509223985908e-06,0.450544444381749,0.215,0.055,0.0419267646209726,2.58151617160228e-21,0.435756996350289,0.2,0.037,2.4002937363558e-17,4.509223985908e-06,5.16303234320458e-21,"Tb927.11.15420","eukaryotic translation initiation factor 3 subunit k","EIF3K"
"Tb927.9.2990",4.00076653618527e-07,1.1574343714558,0.207,0.043,0.00371991272534506,2.77601358935151e-21,1.23691511501416,0.318,0.089,2.58113743537903e-17,4.00076653618527e-07,5.55202717870301e-21,"Tb927.9.2990","hypothetical protein","N/A"
"Tb927.10.13660",9.17723967095556e-07,1.24231206841827,0.17,0.028,0.00853299744605448,3.2736324292809e-21,0.526349826583056,0.241,0.054,3.04382343274538e-17,9.17723967095556e-07,6.54726485856184e-21,"Tb927.10.13660","Domain of unknown function DUF21, putative","N/A"
"Tb927.11.8970",2.84163961648016e-14,0.767324124108864,0.437,0.091,2.64215651540326e-10,3.80187010481459e-21,1.15130519940635,0.424,0.152,3.53497882345661e-17,2.84163961648016e-14,7.60374020962923e-21,"Tb927.11.8970","ribose 5-phosphate isomerase, putative","N/A"
"Tb927.2.1170",2.1604621853885e-14,1.56235924067075,0.378,0.067,2.00879773997423e-10,4.597822758154e-21,0.568603545623691,0.241,0.054,4.27505560053159e-17,2.1604621853885e-14,9.195645516308e-21,"Tb927.2.1170","retrotransposon hot spot protein 5 (RHS5), putative","RHS5"
"Tb927.3.800",1.10990260307358e-13,3.60939545878565,0.296,0.036,1.03198744033782e-09,5.77993895872913e-21,0.515717323345233,0.253,0.059,5.37418724382634e-17,1.10990260307358e-13,1.15598779174583e-20,"Tb927.3.800","Vacuolar iron transporter 1, putative","VIT1"
"Tb927.10.15140",1.230709377658e-12,2.75230960998226,0.378,0.091,1.14431357934641e-08,7.27468716312912e-21,0.49764279397647,0.265,0.064,6.76400412427745e-17,1.230709377658e-12,1.45493743262583e-20,"Tb927.10.15140","hypothetical protein, conserved","N/A"
"Tb927.8.8290",2.2228361992037e-06,0.816666249462083,0.407,0.194,0.020667930980196,8.06084749514311e-21,1.99270563757566,0.535,0.246,7.49497600098406e-17,2.2228361992037e-06,1.61216949902862e-20,"Tb927.8.8290","amino acid transporter AATP5","N/A"
"Tb927.8.930",8.20854867387872e-14,0.795125413919604,0.281,0.024,7.63230855697244e-10,1.02962883297715e-20,0.439839678971227,0.194,0.036,9.57348888902156e-17,8.20854867387872e-14,2.05925766595431e-20,"Tb927.8.930","hypothetical protein","N/A"
"Tb927.9.10400",5.81892455699848e-09,0.998783034628134,0.4,0.142,5.41043605309718e-05,1.32350748228829e-20,0.455317360603184,0.206,0.04,1.23059725703165e-16,5.81892455699848e-09,2.64701496457659e-20,"Tb927.9.10400","hypothetical protein, conserved","N/A"
"Tb927.9.4200",1.613322655483e-06,1.30068845966498,0.252,0.075,0.0150006740506809,1.41172515112403e-20,1.81800319316366,0.312,0.091,1.31262204551512e-16,1.613322655483e-06,2.82345030224807e-20,"Tb927.9.4200","fatty acyl CoA synthetase 2","ACS2"
"Tb927.10.2660",1.39999366701961e-11,1.65494537769865,0.23,0.02,1.30171411159484e-07,1.67410166715825e-20,1.85466752260383,0.229,0.05,1.55657973012374e-16,1.39999366701961e-11,3.3482033343165e-20,"Tb927.10.2660","hypothetical protein, conserved","N/A"
"Tb927.8.2530",1.36161989418978e-08,0.979390266605656,0.244,0.047,0.000126603417761766,2.18762846395332e-20,1.91004618646624,0.447,0.172,2.03405694578379e-16,1.36161989418978e-08,4.37525692790665e-20,"Tb927.8.2530","Cytochrome c oxidase copper chaperone, related","N/A"
"Tb927.1.3200",2.38763870284572e-20,2.26501450442121,0.467,0.067,2.22002646590595e-16,4.03030626980357e-15,2.25869921623203,0.276,0.091,3.74737876966336e-11,4.03030626980357e-15,4.77527740569146e-20,"Tb927.1.3200","Suppressor of G2 allele of SKP1, putative","SGT1"
"Tb927.11.2300",3.27367444067526e-05,0.861886436401695,0.185,0.051,0.304386249493985,2.4225603820847e-20,0.388199082651002,0.182,0.032,2.25249664326235e-16,3.27367444067526e-05,4.84512076416939e-20,"Tb927.11.2300","eukaryotic peptide chain release factor subunit 1, putative","ERF1"
"Tb927.5.4420",2.94527199463115e-05,1.18173762544167,0.259,0.103,0.273851390060804,2.58266086328087e-20,0.805852390735667,0.224,0.049,2.40135807067856e-16,2.94527199463115e-05,5.16532172656174e-20,"Tb927.5.4420","nucleolar RNA helicase II, putative","N/A"
