gene.id,location,product.desc,gene.type,input.id,gene.name
Tb927.10.120,"Tb927_10_v5.1:56,199..58,296(-)",hypothetical protein,protein coding,Tb927.10.120,N/A
Tb927.10.1200,"Tb927_10_v5.1:322,922..324,044(-)","Programmed cell death protein 2, C-terminal putative domain containing protein, putative",protein coding,Tb927.10.1200,N/A
Tb927.10.12000,"Tb927_10_v5.1:2,919,583..2,920,741(+)","iron-sulfur cluster assembly protein, putative",protein coding,Tb927.10.12000,N/A
Tb927.10.12010,"Tb927_10_v5.1:2,920,904..2,921,518(+)","hypothetical protein, conserved",protein coding,Tb927.10.12010,N/A
Tb927.10.12020,"Tb927_10_v5.1:2,921,807..2,923,213(+)","recA bacterial DNA recombination protein, putative",protein coding,Tb927.10.12020,N/A
Tb927.10.12030,"Tb927_10_v5.1:2,923,375..2,927,757(+)","hypothetical protein, conserved",protein coding,Tb927.10.12030,N/A
Tb927.10.12040,"Tb927_10_v5.1:2,928,005..2,929,722(+)","mitogen-activated protein kinase 11, putative",protein coding,Tb927.10.12040,MAPK11
Tb927.10.12050,"Tb927_10_v5.1:2,931,948..2,932,864(+)","LSU ribosomal protein, mitochondrial, putative",protein coding,Tb927.10.12050,N/A
Tb927.10.12060,"Tb927_10_v5.1:2,936,184..2,940,787(+)","hypothetical protein, conserved",protein coding,Tb927.10.12060,N/A
Tb927.10.12070,"Tb927_10_v5.1:2,941,443..2,941,883(+)",hypothetical protein,protein coding,Tb927.10.12070,N/A
Tb927.10.12080,"Tb927_10_v5.1:2,942,756..2,944,215(+)","hypothetical protein, conserved",protein coding,Tb927.10.12080,N/A
Tb927.10.12090,"Tb927_10_v5.1:2,944,944..2,945,818(+)","RNA-binding protein, putative",protein coding,Tb927.10.12090,RBP7A
Tb927.10.1210,"Tb927_10_v5.1:324,529..326,808(-)","katanin, putative",protein coding,Tb927.10.1210,N/A
Tb927.10.12100,"Tb927_10_v5.1:2,945,981..2,946,885(+)",RNA-binding protein 7B,protein coding,Tb927.10.12100,RBP7B
Tb927.10.12110,"Tb927_10_v5.1:2,947,070..2,948,505(+)","hypothetical protein, conserved",protein coding,Tb927.10.12110,N/A
Tb927.10.12120,"Tb927_10_v5.1:2,948,616..2,955,216(+)","hypothetical protein, conserved",protein coding,Tb927.10.12120,N/A
Tb927.10.12130,"Tb927_10_v5.1:2,956,345..2,959,047(+)","Ubiquitin family, putative",protein coding,Tb927.10.12130,TZP88
Tb927.10.12140,"Tb927_10_v5.1:2,959,213..2,961,792(+)","hypothetical protein, conserved",protein coding,Tb927.10.12140,N/A
Tb927.10.12150,"Tb927_10_v5.1:2,962,184..2,963,555(+)","hypothetical protein, conserved",protein coding,Tb927.10.12150,N/A
Tb927.10.12160,"Tb927_10_v5.1:2,963,744..2,964,965(+)","hypothetical protein, conserved",protein coding,Tb927.10.12160,N/A
Tb927.10.12170,"Tb927_10_v5.1:2,965,288..2,966,502(+)","RAB-interacting protein, putative",protein coding,Tb927.10.12170,N/A
Tb927.10.12180,"Tb927_10_v5.1:2,966,617..2,969,315(+)","hypothetical protein, conserved",protein coding,Tb927.10.12180,N/A
Tb927.10.12190,"Tb927_10_v5.1:2,969,428..2,970,127(+)","RAB-interacting protein, putative",protein coding,Tb927.10.12190,N/A
Tb927.10.1220,"Tb927_10_v5.1:328,820..332,902(-)",hypothetical protein,protein coding,Tb927.10.1220,N/A
Tb927.10.12200,"Tb927_10_v5.1:2,970,906..2,971,937(+)","hypothetical protein, conserved",protein coding,Tb927.10.12200,N/A
Tb927.10.12210,"Tb927_10_v5.1:2,971,933..2,972,955(+)","ribulose-5-phosphate 3-epimerase, putative",protein coding,Tb927.10.12210,N/A
Tb927.10.12220,"Tb927_10_v5.1:2,973,076..2,974,221(+)","hypothetical protein, conserved",protein coding,Tb927.10.12220,N/A
Tb927.10.12230,"Tb927_10_v5.1:2,974,438..2,975,999(+)","hypothetical protein, conserved",protein coding,Tb927.10.12230,N/A
Tb927.10.12240,"Tb927_10_v5.1:2,976,178..2,977,519(+)","3-ketoacyl-CoA reductase, putative",protein coding,Tb927.10.12240,N/A
Tb927.10.12250,"Tb927_10_v5.1:2,977,681..2,980,070(+)","hypothetical protein, conserved",protein coding,Tb927.10.12250,N/A
Tb927.10.12260,"Tb927_10_v5.1:2,980,232..2,982,213(+)","cytosolic nonspecific dipeptidase, putative",protein coding,Tb927.10.12260,N/A
Tb927.10.12270,"Tb927_10_v5.1:2,982,321..2,983,646(+)","methyltransferase domain containing protein, putative",protein coding,Tb927.10.12270,N/A
Tb927.10.12280,"Tb927_10_v5.1:2,983,885..2,984,650(+)",hypothetical protein,protein coding,Tb927.10.12280,N/A
Tb927.10.12290,"Tb927_10_v5.1:2,984,629..2,986,212(-)","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative",protein coding,Tb927.10.12290,N/A
Tb927.10.1230,"Tb927_10_v5.1:333,284..334,508(-)",Enriched in surface-labeled proteome protein 23,protein coding,Tb927.10.1230,ESP23
Tb927.10.12300,"Tb927_10_v5.1:2,986,337..2,987,537(-)",Cardiolipin-dependent protein 15kDa,protein coding,Tb927.10.12300,CLDP15
Tb927.10.12310,"Tb927_10_v5.1:2,987,766..2,990,537(-)",helicase-like protein,protein coding,Tb927.10.12310,N/A
Tb927.10.12320,"Tb927_10_v5.1:2,990,861..2,992,084(-)",hypothetical protein,protein coding,Tb927.10.12320,TZP44
Tb927.10.12330,"Tb927_10_v5.1:2,992,262..2,993,063(-)","zinc finger protein family member, putative",protein coding,Tb927.10.12330,ZC3H34
Tb927.10.12340,"Tb927_10_v5.1:2,993,234..2,996,078(-)","hypothetical protein, conserved",protein coding,Tb927.10.12340,N/A
Tb927.10.12350,"Tb927_10_v5.1:2,996,212..2,997,250(-)","hypothetical protein, conserved",protein coding,Tb927.10.12350,N/A
Tb927.10.12360,"Tb927_10_v5.1:2,998,695..2,999,357(-)","hypothetical protein, conserved",protein coding,Tb927.10.12360,N/A
Tb927.10.12370,"Tb927_10_v5.1:3,000,148..3,002,239(-)",gamma-glutamylcysteine synthetase,protein coding,Tb927.10.12370,GCS
Tb927.10.12380,"Tb927_10_v5.1:3,002,421..3,004,825(-)","chaperone protein DnaJ, putative",protein coding,Tb927.10.12380,J42
Tb927.10.12390,"Tb927_10_v5.1:3,004,351..3,005,948(-)","hypothetical protein, conserved",protein coding,Tb927.10.12390,N/A
Tb927.10.1240,"Tb927_10_v5.1:334,650..335,712(-)","hypothetical protein, conserved",protein coding,Tb927.10.1240,N/A
Tb927.10.12400,"Tb927_10_v5.1:3,006,836..3,008,755(-)","membrane transporter protein, putative",protein coding,Tb927.10.12400,N/A
Tb927.10.12410,"Tb927_10_v5.1:3,008,905..3,009,826(-)","hypothetical protein, conserved",protein coding,Tb927.10.12410,N/A
Tb927.10.12420,"Tb927_10_v5.1:3,009,947..3,010,539(-)",predicted S. cerevisiae Got1 homologue,protein coding,Tb927.10.12420,N/A
Tb927.10.12430,"Tb927_10_v5.1:3,010,894..3,013,033(-)","Noc2p family, putative",protein coding,Tb927.10.12430,N/A
Tb927.10.12440,"Tb927_10_v5.1:3,013,225..3,015,986(-)","kinesin, putative",protein coding,Tb927.10.12440,N/A
Tb927.10.12450,"Tb927_10_v5.1:3,016,483..3,017,148(-)","SNARE domain-containing protein, putative",protein coding,Tb927.10.12450,N/A
Tb927.10.12460,"Tb927_10_v5.1:3,017,568..3,018,050(-)","Zinc finger, C3HC4 type (RING finger), putative",protein coding,Tb927.10.12460,N/A
Tb927.10.12470,"Tb927_10_v5.1:3,018,194..3,020,690(-)","hypothetical protein, conserved",protein coding,Tb927.10.12470,N/A
Tb927.10.12480,"Tb927_10_v5.1:3,022,198..3,023,315(-)","UAA transporter family, putative",protein coding,Tb927.10.12480,N/A
Tb927.10.12490,"Tb927_10_v5.1:3,023,416..3,027,694(-)","kinesin, putative",protein coding,Tb927.10.12490,N/A
Tb927.10.1250,"Tb927_10_v5.1:335,871..336,972(-)","Aminoacyl-tRNA editing domain containing protein, putative",protein coding,Tb927.10.1250,N/A
Tb927.10.12500,"Tb927_10_v5.1:3,029,815..3,033,722(-)","P-type H+-ATPase, putative",protein coding,Tb927.10.12500,N/A
Tb927.10.12510,"Tb927_10_v5.1:3,034,609..3,037,434(-)","P-type H+-ATPase, putative",protein coding,Tb927.10.12510,N/A
Tb927.10.12520,"Tb927_10_v5.1:3,037,525..3,040,404(-)","hypothetical protein, conserved",protein coding,Tb927.10.12520,N/A
Tb927.10.12530,"Tb927_10_v5.1:3,040,566..3,041,176(-)","chaperone protein DnaJ, putative",protein coding,Tb927.10.12530,J13
Tb927.10.12540,"Tb927_10_v5.1:3,041,875..3,043,045(-)","NADH-ubiquinone oxidoreductase complex I subunit, putative",protein coding,Tb927.10.12540,NDUFS1
Tb927.10.12550,"Tb927_10_v5.1:3,044,989..3,045,895(-)","hypothetical protein, conserved",protein coding,Tb927.10.12550,N/A
Tb927.10.12570,"Tb927_10_v5.1:3,049,384..3,049,722(-)",hypothetical protein,protein coding,Tb927.10.12570,N/A
Tb927.10.12580,"Tb927_10_v5.1:3,049,737..3,051,258(+)",hypothetical protein,protein coding,Tb927.10.12580,N/A
Tb927.10.12590,"Tb927_10_v5.1:3,050,379..3,054,182(-)","hypothetical protein, conserved",protein coding,Tb927.10.12590,N/A
Tb927.10.1260,"Tb927_10_v5.1:337,240..339,131(-)","aspartyl-tRNA synthetase, putative",protein coding,Tb927.10.1260,N/A
Tb927.10.12600,"Tb927_10_v5.1:3,054,275..3,056,254(-)",Small RNA 2'-O-methyltransferase,protein coding,Tb927.10.12600,HEN1
Tb927.10.12610,"Tb927_10_v5.1:3,056,653..3,057,280(-)",hypothetical protein,protein coding,Tb927.10.12610,N/A
Tb927.10.12620,"Tb927_10_v5.1:3,057,476..3,061,269(-)","Protein of unknown function (DUF3648), putative",protein coding,Tb927.10.12620,N/A
Tb927.10.12630,"Tb927_10_v5.1:3,061,419..3,062,395(-)","hypothetical protein, conserved",protein coding,Tb927.10.12630,N/A
Tb927.10.12640,"Tb927_10_v5.1:3,062,547..3,065,671(-)","chaperone protein DnaJ, putative",protein coding,Tb927.10.12640,J37
Tb927.10.12650,"Tb927_10_v5.1:3,072,261..3,072,854(-)","hypothetical protein, conserved",protein coding,Tb927.10.12650,N/A
Tb927.10.12660,"Tb927_10_v5.1:3,073,130..3,076,108(-)",pumilio/PUF RNA binding protein 2,protein coding,Tb927.10.12660,PUF2
Tb927.10.12670,"Tb927_10_v5.1:3,076,297..3,080,109(-)","hypothetical protein, conserved",protein coding,Tb927.10.12670,N/A
Tb927.10.12680,"Tb927_10_v5.1:3,080,272..3,080,906(-)","60S ribosomal protein L34, putative",protein coding,Tb927.10.12680,N/A
Tb927.10.12690,"Tb927_10_v5.1:3,081,226..3,082,315(-)","hypothetical protein, conserved",protein coding,Tb927.10.12690,N/A
Tb927.10.1270,"Tb927_10_v5.1:339,283..343,082(-)","mismatch repair protein, putative",protein coding,Tb927.10.1270,N/A
Tb927.10.12700,"Tb927_10_v5.1:3,083,138..3,084,858(-)","pyruvate dehydrogenase E1 alpha subunit, putative",protein coding,Tb927.10.12700,N/A
Tb927.10.12710,"Tb927_10_v5.1:3,085,028..3,088,116(-)","heat shock protein 110, putative",protein coding,Tb927.10.12710,HSP110
Tb927.10.12720,"Tb927_10_v5.1:3,088,250..3,091,450(-)",Bait On Hook 1,protein coding,Tb927.10.12720,BOH1
Tb927.10.12730,"Tb927_10_v5.1:3,091,598..3,093,650(-)",hypothetical protein,protein coding,Tb927.10.12730,N/A
Tb927.10.12740,"Tb927_10_v5.1:3,092,982..3,095,922(-)",Zinc finger CCCH domain-containing protein 35,protein coding,Tb927.10.12740,ZC3H35
Tb927.10.12750,"Tb927_10_v5.1:3,095,781..3,097,690(-)",hypothetical protein,protein coding,Tb927.10.12750,N/A
Tb927.10.12760,"Tb927_10_v5.1:3,100,161..3,101,266(-)","zinc finger protein family member, putative",protein coding,Tb927.10.12760,ZC3H36
Tb927.10.12780,"Tb927_10_v5.1:3,101,484..3,104,940(-)",Zinc finger CCCH domain-containing protein 37,protein coding,Tb927.10.12780,ZC3H37
Tb927.10.1280,"Tb927_10_v5.1:343,184..343,995(-)","Domain of unknown function (DUF4499), putative",protein coding,Tb927.10.1280,N/A
Tb927.10.12800,"Tb927_10_v5.1:3,105,595..3,109,935(-)",Zinc finger CCCH domain-containing protein 38,protein coding,Tb927.10.12800,ZC3H38
Tb927.10.12810,"Tb927_10_v5.1:3,110,825..3,112,445(-)","cholinephosphate cytidylyltransferase A, putative",protein coding,Tb927.10.12810,N/A
Tb927.10.12820,"Tb927_10_v5.1:3,114,222..3,117,289(-)","hypothetical protein, conserved",protein coding,Tb927.10.12820,N/A
Tb927.10.12830,"Tb927_10_v5.1:3,117,763..3,118,973(-)","acetyltransferase, putative",protein coding,Tb927.10.12830,N/A
Tb927.10.12840,"Tb927_10_v5.1:3,118,985..3,121,240(-)",mitochondrial carrier protein,protein coding,Tb927.10.12840,MCP12
Tb927.10.12850,"Tb927_10_v5.1:3,121,168..3,123,224(-)",ttaggg binding factor,protein coding,Tb927.10.12850,TRF
Tb927.10.12860,"Tb927_10_v5.1:3,123,370..3,125,480(-)","pre-RNA processing PIH1/Nop17, putative",protein coding,Tb927.10.12860,N/A
Tb927.10.12870,"Tb927_10_v5.1:3,125,602..3,129,768(-)",Basal body protein,protein coding,Tb927.10.12870,BBP120
Tb927.10.12880,"Tb927_10_v5.1:3,130,089..3,131,451(-)","SET domain containing protein, putative",protein coding,Tb927.10.12880,N/A
Tb927.10.12890,"Tb927_10_v5.1:3,132,231..3,134,463(-)","bifunctional aminoacyl-tRNA synthetase, putative",protein coding,Tb927.10.12890,N/A
Tb927.10.1290,"Tb927_10_v5.1:344,082..344,728(-)","hypothetical protein, conserved",protein coding,Tb927.10.1290,N/A
Tb927.10.12900,"Tb927_10_v5.1:3,135,001..3,135,489(-)","Complex 1 protein (LYR family), putative",protein coding,Tb927.10.12900,N/A
Tb927.10.12910,"Tb927_10_v5.1:3,135,616..3,138,786(-)","hypothetical protein, conserved",protein coding,Tb927.10.12910,N/A
Tb927.10.12920,"Tb927_10_v5.1:3,139,218..3,142,566(-)",Flagellum attachment zone protein 18,protein coding,Tb927.10.12920,FAZ18
Tb927.10.12930,"Tb927_10_v5.1:3,143,111..3,143,968(-)","hypothetical protein, conserved",protein coding,Tb927.10.12930,N/A
Tb927.10.12940,"Tb927_10_v5.1:3,145,406..3,146,772(-)",predicted zinc finger protein,protein coding,Tb927.10.12940,N/A
Tb927.10.12950,"Tb927_10_v5.1:3,146,931..3,149,879(-)",Basal body protein,protein coding,Tb927.10.12950,BBP110
Tb927.10.12960,"Tb927_10_v5.1:3,150,028..3,151,107(-)",Ras-related protein Rab5A,protein coding,Tb927.10.12960,RAB5A
Tb927.10.12970,"Tb927_10_v5.1:3,151,245..3,152,505(-)","AN1-like zinc finger, putative",protein coding,Tb927.10.12970,N/A
Tb927.10.12980,"Tb927_10_v5.1:3,152,650..3,155,251(-)","Multisite-specific tRNA:(cytosine-C(5))-methyltransferase, putative",protein coding,Tb927.10.12980,N/A
Tb927.10.12990,"Tb927_10_v5.1:3,155,477..3,156,392(-)",predicted ankyrin repeat family protein,protein coding,Tb927.10.12990,N/A
Tb927.10.130,"Tb927_10_v5.1:58,920..59,393(+)",hypothetical protein,protein coding,Tb927.10.130,N/A
Tb927.10.1300,"Tb927_10_v5.1:344,944..346,629(-)","hypothetical protein, conserved",protein coding,Tb927.10.1300,N/A
Tb927.10.13000,"Tb927_10_v5.1:3,156,582..3,158,767(-)","cAMP phosphodiesterase A, putative",protein coding,Tb927.10.13000,PDEA
Tb927.10.13020,"Tb927_10_v5.1:3,162,115..3,164,869(-)","Vacuolar protein sorting-associated protein 16 homolog, putative",protein coding,Tb927.10.13020,N/A
Tb927.10.13030,"Tb927_10_v5.1:3,165,002..3,167,359(-)","cysteine peptidase, Clan CA, family C2, putative",protein coding,Tb927.10.13030,N/A
Tb927.10.13040,"Tb927_10_v5.1:3,172,064..3,177,271(+)",procyclic-enriched flagellar receptor adenylate cyclase 4,protein coding,Tb927.10.13040,ACP4
Tb927.10.13060,"Tb927_10_v5.1:3,176,365..3,180,080(-)",hypothetical protein,protein coding,Tb927.10.13060,N/A
Tb927.10.13070,"Tb927_10_v5.1:3,181,160..3,184,956(-)","hypothetical protein, conserved",protein coding,Tb927.10.13070,N/A
Tb927.10.13080,"Tb927_10_v5.1:3,184,959..3,185,886(-)",hypothetical protein,protein coding,Tb927.10.13080,N/A
Tb927.10.13090,"Tb927_10_v5.1:3,186,497..3,188,307(-)","PhoD-like phosphatase, putative",protein coding,Tb927.10.13090,N/A
Tb927.10.1310,"Tb927_10_v5.1:346,813..349,808(-)","Domain of unknown function (DUF4042), putative",protein coding,Tb927.10.1310,N/A
Tb927.10.13100,"Tb927_10_v5.1:3,188,413..3,190,795(-)",Cytokinesis initiation factor 3,protein coding,Tb927.10.13100,CIF3
Tb927.10.13110,"Tb927_10_v5.1:3,191,381..3,191,948(-)",Outer arm dynein light chain 7,protein coding,Tb927.10.13110,LC7
Tb927.10.13130,"Tb927_10_v5.1:3,194,030..3,195,933(-)",UTP-glucose-1-phosphate uridylyltransferase,protein coding,Tb927.10.13130,UGP
Tb927.10.13140,"Tb927_10_v5.1:3,196,190..3,196,982(-)","hypothetical protein, conserved",protein coding,Tb927.10.13140,N/A
Tb927.10.13150,"Tb927_10_v5.1:3,197,403..3,200,019(-)","hypothetical protein, conserved",protein coding,Tb927.10.13150,N/A
Tb927.10.13160,"Tb927_10_v5.1:3,200,304..3,201,948(-)",gpi mannosyltransferase 2,protein coding,Tb927.10.13160,gpi18
Tb927.10.13170,"Tb927_10_v5.1:3,203,261..3,204,322(-)",Mitoribosomal LSU assembly factor 29,protein coding,Tb927.10.13170,mt-LAF29
Tb927.10.13180,"Tb927_10_v5.1:3,204,646..3,208,384(-)","Nrap protein, putative",protein coding,Tb927.10.13180,N/A
Tb927.10.13190,"Tb927_10_v5.1:3,208,873..3,210,138(-)","actin-related protein 2/3 complex subunit 1, putative",protein coding,Tb927.10.13190,ARPC1
Tb927.10.1320,"Tb927_10_v5.1:350,064..352,423(-)","hypothetical protein, conserved",protein coding,Tb927.10.1320,N/A
Tb927.10.13200,"Tb927_10_v5.1:3,210,289..3,213,116(-)",kinetoplast ribosomal PPR-repeat containing protein 4,protein coding,Tb927.10.13200,KRIPP4
Tb927.10.13210,"Tb927_10_v5.1:3,213,469..3,215,335(-)","dolichyl-P-Man:GDP-ManGlcNAc2-PP-dolichyl beta-1,4-mannosyltransferase, putative",protein coding,Tb927.10.13210,N/A
Tb927.10.13220,"Tb927_10_v5.1:3,215,586..3,218,415(-)","cyclophilin type peptidyl-prolyl cis-trans isomerase, putative",protein coding,Tb927.10.13220,PPIase
Tb927.10.13230,"Tb927_10_v5.1:3,219,514..3,220,901(-)","hypothetical protein, conserved",protein coding,Tb927.10.13230,N/A
Tb927.10.13240,"Tb927_10_v5.1:3,221,453..3,223,362(-)","hypothetical protein, conserved",protein coding,Tb927.10.13240,N/A
Tb927.10.13250,"Tb927_10_v5.1:3,223,486..3,230,364(-)","hypothetical protein, conserved",protein coding,Tb927.10.13250,N/A
Tb927.10.13260,"Tb927_10_v5.1:3,230,549..3,234,637(-)","hypothetical protein, conserved",protein coding,Tb927.10.13260,N/A
Tb927.10.13270,"Tb927_10_v5.1:3,234,925..3,237,852(-)","Periodic tryptophan protein 2 homolog, putative",protein coding,Tb927.10.13270,N/A
Tb927.10.13280,"Tb927_10_v5.1:3,238,200..3,246,138(-)","hypothetical protein, conserved",protein coding,Tb927.10.13280,N/A
Tb927.10.13290,"Tb927_10_v5.1:3,246,300..3,248,011(-)",ethanolamine phosphotransferase (EPT),protein coding,Tb927.10.13290,N/A
Tb927.10.1330,"Tb927_10_v5.1:352,678..354,680(-)","hypothetical protein, conserved",protein coding,Tb927.10.1330,N/A
Tb927.10.13300,"Tb927_10_v5.1:3,248,231..3,249,399(-)",Mitochondrial ribosomal protein S8,protein coding,Tb927.10.13300,MRPS8
Tb927.10.13310,"Tb927_10_v5.1:3,249,511..3,250,727(-)","DNA-directed RNA polymerase I subunit RPB5z, putative",protein coding,Tb927.10.13310,RPB5z
Tb927.10.13320,"Tb927_10_v5.1:3,250,999..3,251,689(-)","DNA-directed RNA polymerase II/III subunit, putative",protein coding,Tb927.10.13320,RPB5
Tb927.10.13330,"Tb927_10_v5.1:3,251,814..3,257,033(-)","paraflagellar rod component, putative",protein coding,Tb927.10.13330,PFC20
Tb927.10.13335,"Tb927_10_v5.1:3,257,252..3,257,725(-)","Zinc-finger of C2H2 type, putative",protein coding,Tb927.10.13335,N/A
Tb927.10.13350,"Tb927_10_v5.1:3,257,826..3,261,821(-)","hypothetical protein, conserved",protein coding,Tb927.10.13350,N/A
Tb927.10.13360,"Tb927_10_v5.1:3,262,927..3,264,780(-)","Elongation factor Tu, mitochondrial",protein coding,Tb927.10.13360,EF-Tu
Tb927.10.13370,"Tb927_10_v5.1:3,264,901..3,265,790(-)","dynein light chain Tctex-type, putative",protein coding,Tb927.10.13370,N/A
Tb927.10.13380,"Tb927_10_v5.1:3,265,905..3,268,199(-)",Origin recognition complex subunit 4-like protein,protein coding,Tb927.10.13380,ORC4L
Tb927.10.13390,"Tb927_10_v5.1:3,269,884..3,272,427(-)","hypothetical protein, conserved",protein coding,Tb927.10.13390,N/A
Tb927.10.1340,"Tb927_10_v5.1:354,997..356,685(-)","hypothetical protein, conserved",protein coding,Tb927.10.1340,N/A
Tb927.10.13400,"Tb927_10_v5.1:3,272,560..3,274,045(-)","Phosphatidic acid phostphatase, putative",protein coding,Tb927.10.13400,N/A
Tb927.10.13410,"Tb927_10_v5.1:3,275,687..3,276,073(-)",hypothetical protein,protein coding,Tb927.10.13410,N/A
Tb927.10.13420,"Tb927_10_v5.1:3,276,360..3,277,165(-)",hypothetical protein,protein coding,Tb927.10.13420,N/A
Tb927.10.13430,"Tb927_10_v5.1:3,277,054..3,279,258(-)","citrate synthase, putative",protein coding,Tb927.10.13430,N/A
Tb927.10.13440,"Tb927_10_v5.1:3,279,217..3,281,654(-)","hypothetical protein, conserved",protein coding,Tb927.10.13440,N/A
Tb927.10.13450,"Tb927_10_v5.1:3,281,746..3,287,271(-)","hypothetical protein, conserved",protein coding,Tb927.10.13450,N/A
Tb927.10.13470,"Tb927_10_v5.1:3,288,206..3,290,909(-)","PA26 p53-induced protein (sestrin), putative",protein coding,Tb927.10.13470,N/A
Tb927.10.13480,"Tb927_10_v5.1:3,291,242..3,292,719(-)","CAMK/CAMKL family protein kinase, putative",protein coding,Tb927.10.13480,N/A
Tb927.10.13490,"Tb927_10_v5.1:3,292,869..3,295,044(-)","CAMK/CAMKL family protein kinase, putative",protein coding,Tb927.10.13490,N/A
Tb927.10.1350,"Tb927_10_v5.1:356,839..359,708(-)","hypothetical protein, conserved",protein coding,Tb927.10.1350,N/A
Tb927.10.13500,"Tb927_10_v5.1:3,295,187..3,296,485(-)",60S ribosomal protein L10a,protein coding,Tb927.10.13500,N/A
Tb927.10.13510,"Tb927_10_v5.1:3,296,746..3,298,688(-)","zinc metallopeptidase, putative",protein coding,Tb927.10.13510,N/A
Tb927.10.13513,"Tb927_10_v5.1:3,298,808..3,299,447(-)","Dpy-30 motif containing protein, putative",protein coding,Tb927.10.13513,N/A
Tb927.10.13517,"Tb927_10_v5.1:3,299,553..3,300,102(-)","40S ribosomal protein S27-like, putative",protein coding,Tb927.10.13517,N/A
Tb927.10.13520,"Tb927_10_v5.1:3,300,538..3,302,639(-)","Zn-finger in Ran binding protein and others/FYVE zinc finger, putative",protein coding,Tb927.10.13520,N/A
Tb927.10.13530,"Tb927_10_v5.1:3,302,977..3,303,454(+)",hypothetical protein,protein coding,Tb927.10.13530,N/A
Tb927.10.13540,"Tb927_10_v5.1:3,304,584..3,305,825(-)","RNA-binding protein, putative",protein coding,Tb927.10.13540,RBP12
Tb927.10.13550,"Tb927_10_v5.1:3,305,941..3,310,895(-)","hypothetical protein, conserved",protein coding,Tb927.10.13550,N/A
Tb927.10.13560,"Tb927_10_v5.1:3,316,146..3,317,597(-)",mevalonate-diphosphate decarboxylase,protein coding,Tb927.10.13560,ERG19
Tb927.10.13570,"Tb927_10_v5.1:3,317,751..3,318,778(-)","RNA-binding protein, putative",protein coding,Tb927.10.13570,RBP27
Tb927.10.13580,"Tb927_10_v5.1:3,318,914..3,320,718(-)","major facilitator superfamily protein (MFS), putative",protein coding,Tb927.10.13580,N/A
Tb927.10.13590,"Tb927_10_v5.1:3,320,987..3,323,854(-)","hypothetical protein, conserved",protein coding,Tb927.10.13590,N/A
Tb927.10.13600,"Tb927_10_v5.1:3,324,053..3,324,766(-)",Cardiolipin-dependent protein 18kDa,protein coding,Tb927.10.13600,CLDP18
Tb927.10.13610,"Tb927_10_v5.1:3,324,893..3,327,683(-)","zinc-finger of a C2HC-type/Double zinc ribbon, putative",protein coding,Tb927.10.13610,N/A
Tb927.10.13620,"Tb927_10_v5.1:3,327,821..3,329,825(-)",nadh-ubiquinone oxidoreductase 39 kda subunit,protein coding,Tb927.10.13620,NDUFA9
Tb927.10.13630,"Tb927_10_v5.1:3,329,739..3,332,858(-)","glucosidase, putative",protein coding,Tb927.10.13630,N/A
Tb927.10.13640,"Tb927_10_v5.1:3,333,289..3,334,669(-)","hypothetical protein, conserved",protein coding,Tb927.10.13640,N/A
Tb927.10.13650,"Tb927_10_v5.1:3,335,048..3,335,449(-)","ADP-ribosylation factor-like protein 2-binding protein, putative",protein coding,Tb927.10.13650,N/A
Tb927.10.13660,"Tb927_10_v5.1:3,335,795..3,338,702(-)","Domain of unknown function DUF21, putative",protein coding,Tb927.10.13660,N/A
Tb927.10.13670,"Tb927_10_v5.1:3,340,081..3,341,523(-)",serine/threonine protein phosphatase 5,protein coding,Tb927.10.13670,PP5
Tb927.10.13680,"Tb927_10_v5.1:3,342,317..3,344,408(-)","lipase domain protein, putative",protein coding,Tb927.10.13680,N/A
Tb927.10.13690,"Tb927_10_v5.1:3,346,124..3,348,667(-)","hypothetical protein, conserved",protein coding,Tb927.10.13690,N/A
Tb927.10.1370,"Tb927_10_v5.1:360,398..362,028(-)","hypothetical protein, conserved",protein coding,Tb927.10.1370,N/A
Tb927.10.13700,"Tb927_10_v5.1:3,348,781..3,349,732(-)","phosphatidic acid phosphatase alpha, putative",protein coding,Tb927.10.13700,N/A
Tb927.10.13710,"Tb927_10_v5.1:3,349,879..3,351,259(-)","Activator of Hsp90 ATPase, N-terminal/Activator of Hsp90 ATPase homolog 1-like protein, putative",protein coding,Tb927.10.13710,N/A
Tb927.10.13720,"Tb927_10_v5.1:3,351,806..3,352,972(-)","RNA-binding protein 29, putative",protein coding,Tb927.10.13720,RBP29
Tb927.10.13730,"Tb927_10_v5.1:3,353,676..3,355,052(-)","60S ribosomal protein L7, putative",protein coding,Tb927.10.13730,N/A
Tb927.10.13740,"Tb927_10_v5.1:3,356,065..3,358,179(-)","synaptotagmin, putative",protein coding,Tb927.10.13740,N/A
Tb927.10.13750,"Tb927_10_v5.1:3,358,389..3,359,313(-)","hypothetical protein, conserved",protein coding,Tb927.10.13750,N/A
Tb927.10.13760,"Tb927_10_v5.1:3,359,570..3,360,363(-)","hypothetical protein, conserved",protein coding,Tb927.10.13760,N/A
Tb927.10.13770,"Tb927_10_v5.1:3,360,530..3,361,557(-)","hypothetical protein, conserved",protein coding,Tb927.10.13770,N/A
Tb927.10.13780,"Tb927_10_v5.1:3,361,774..3,366,257(-)",Glycogen synthase kinase 3 short,protein coding,Tb927.10.13780,GSK3s
